ID;ESP;ENG;GER;FRA;ITA
P1;monitor;monitor;scherm;moniteur;schermo
P2;teclado;keyboard;toetsenbord;clavier;tastiera
P3;perro;dog;hond;chien;cane
P4;gato;cat;kat;chat;gatto
P5;pregunta;question;vraag;question;domanda
P6;respuesta;answer;antwoord;reponse;risposta
P7;uno;one;een;un;uno
P8;bien;good;goed;bien;buono
P9;malvado;evil;slecht;mechant;cattivo
P10;pupitre;desk;bureau;pupitre;scrivania
P11;silla;chair;stoel;chaise;sedia
P12;mesa;table;tafel;table;tavolo
P13;carro;car;auto;chariot;auto
P14;maleta;bag;tas;valise;bagaglio
P15;ministro;minister;minister;ministre;ministro
P16;presidente;president;president;president;presidente
P17;rey;king;koning;roi;sovrano
P18;mafioso;gangster;gangster;mafieux;gangster
P19;criminal;criminal;crimineel;criminel;criminale
P20;noticiero;news;Nachrichten;information;notiziario
P21;TrollSoft;TrollSoft;TrollSoft;TrollSoft;TrollSoft
